siteId,siteName,pnu,jibun,intersectionAreaSqm,built,selectedZones,selectedZoneCount,allocationBasis,allocatedAreaPerZoneSqm
pangyo,판교 도시지원시설용지,4113510900106940002,694-2공,73.175,0,준주거지역,1,included_detailed,73.175
pangyo,판교 도시지원시설용지,4113510900107010001,701-1도,526.732,0,준주거지역,1,included_detailed,526.732
pangyo,판교 도시지원시설용지,4113510900107030001,703-1수,1179.996,0,준주거지역,1,included_detailed,1179.996
pangyo,판교 도시지원시설용지,4113510900106890001,689-1도,281.274,0,준주거지역,1,included_detailed,281.274
pangyo,판교 도시지원시설용지,4113510900106970001,697-1공,799.807,0,준주거지역,1,included_detailed,799.807
pangyo,판교 도시지원시설용지,4113510900106980000,698대,15544.348,1,준주거지역,1,included_detailed,15544.348
pangyo,판교 도시지원시설용지,4113510900106990000,699공,79.939,0,준주거지역,1,included_detailed,79.939
pangyo,판교 도시지원시설용지,4113510900106900000,690대,5044.516,1,준주거지역,1,included_detailed,5044.516
pangyo,판교 도시지원시설용지,4113510900107000000,700대,4604.617,1,준주거지역,1,included_detailed,4604.617
pangyo,판교 도시지원시설용지,4113510900107010000,701대,11817.345,1,준주거지역,1,included_detailed,11817.345
pangyo,판교 도시지원시설용지,4113510900107030000,703공,2064.196,0,준주거지역,1,included_detailed,2064.196
pangyo,판교 도시지원시설용지,4113510900107020000,702대,10023.98,1,준주거지역,1,included_detailed,10023.98
pangyo,판교 도시지원시설용지,4113510900106890000,689대,9196.358,1,준주거지역,1,included_detailed,9196.358
pangyo,판교 도시지원시설용지,4113510900106080000,608공,533.93,0,자연녹지지역,1,included_detailed,533.93
pangyo,판교 도시지원시설용지,4113510900106980001,698-1도,4256.924,0,준주거지역,1,included_detailed,4256.924
pangyo,판교 도시지원시설용지,4113510900106880003,688-3도,3265.322,0,준주거지역,1,included_detailed,3265.322
pangyo,판교 도시지원시설용지,4113510900106900001,690-1도,4.078,0,준주거지역,1,included_detailed,4.078
pangyo,판교 도시지원시설용지,4113510900106920001,692-1도,140.1,0,준주거지역,1,included_detailed,140.1
pangyo,판교 도시지원시설용지,4113510900106930002,693-2도,148.375,0,준주거지역,1,included_detailed,148.375
pangyo,판교 도시지원시설용지,4113510900106940000,694대,2575.925,1,준주거지역,1,included_detailed,2575.925
pangyo,판교 도시지원시설용지,4113510900106930001,693-1대,2415.711,0,준주거지역,1,included_detailed,2415.711
pangyo,판교 도시지원시설용지,4113510900106930000,693대,2532.814,1,준주거지역,1,included_detailed,2532.814
pangyo,판교 도시지원시설용지,4113510900106920000,692대,4037.234,1,준주거지역,1,included_detailed,4037.234
pangyo,판교 도시지원시설용지,4113510900106910000,691차,148.549,1,준주거지역,1,included_detailed,148.549
pangyo,판교 도시지원시설용지,4113510900106940001,694-1대,9707.627,1,준주거지역,1,included_detailed,9707.627
pangyo,판교 도시지원시설용지,4113510900106960002,696-2대,3181.346,0,준주거지역,1,included_detailed,3181.346
pangyo,판교 도시지원시설용지,4113510900106960001,696-1대,7808.571,1,준주거지역,1,included_detailed,7808.571
pangyo,판교 도시지원시설용지,4113510900106960000,696대,13106.104,1,준주거지역,1,included_detailed,13106.104
pangyo,판교 도시지원시설용지,4113510900106710004,671-4도,867.971,0,준주거지역,1,included_detailed,867.971
pangyo,판교 도시지원시설용지,4113510900106700001,670-1도,415.282,0,준주거지역,1,included_detailed,415.282
pangyo,판교 도시지원시설용지,4113510900106850001,685-1도,153.894,0,준주거지역,1,included_detailed,153.894
pangyo,판교 도시지원시설용지,4113510900106830001,683-1도,1955.372,0,준주거지역,1,included_detailed,1955.372
pangyo,판교 도시지원시설용지,4113510900106820001,682-1도,439.224,0,준주거지역,1,included_detailed,439.224
pangyo,판교 도시지원시설용지,4113510900106860001,686-1대,2524.407,1,준주거지역,1,included_detailed,2524.407
pangyo,판교 도시지원시설용지,4113510900106850000,685대,2610.072,1,준주거지역,1,included_detailed,2610.072
pangyo,판교 도시지원시설용지,4113510900106830000,683대,4716.376,1,준주거지역,1,included_detailed,4716.376
pangyo,판교 도시지원시설용지,4113510900106820000,682대,9412.831,1,준주거지역,1,included_detailed,9412.831
pangyo,판교 도시지원시설용지,4113510900106810000,681대,8168.999,1,준주거지역,1,included_detailed,8168.999
pangyo,판교 도시지원시설용지,4113510900106800000,680대,8242.21,1,준주거지역,1,included_detailed,8242.21
pangyo,판교 도시지원시설용지,4113510900106710000,671대,1269.706,1,준주거지역,1,included_detailed,1269.706
pangyo,판교 도시지원시설용지,4113510900106710001,671-1대,1269.841,1,준주거지역,1,included_detailed,1269.841
pangyo,판교 도시지원시설용지,4113510900106710002,671-2대,1269.805,1,준주거지역,1,included_detailed,1269.805
pangyo,판교 도시지원시설용지,4113510900106710003,671-3대,1216.399,1,준주거지역,1,included_detailed,1216.399
pangyo,판교 도시지원시설용지,4113510900106700000,670대,16060.672,1,준주거지역,1,included_detailed,16060.672
pangyo,판교 도시지원시설용지,4113510900106800001,680-1공,1916.102,0,준주거지역,1,included_detailed,1916.102
pangyo,판교 도시지원시설용지,4113510900106860000,686대,5581.025,1,준주거지역,1,included_detailed,5581.025
pangyo,판교 도시지원시설용지,4113510900106730001,673-1도,268.093,0,준주거지역,1,included_detailed,268.093
pangyo,판교 도시지원시설용지,4113510900106870000,687대,2594.679,1,준주거지역,1,included_detailed,2594.679
pangyo,판교 도시지원시설용지,4113510900106870001,687-1대,2736.874,0,준주거지역,1,included_detailed,2736.874
pangyo,판교 도시지원시설용지,4113510900106880001,688-1대,9705.965,1,준주거지역,1,included_detailed,9705.965
pangyo,판교 도시지원시설용지,4113510900106760000,676대,10714.289,1,준주거지역,1,included_detailed,10714.289
pangyo,판교 도시지원시설용지,4113510900106730000,673대,9593.575,1,준주거지역,1,included_detailed,9593.575
pangyo,판교 도시지원시설용지,4113510900106760001,676-1수,477.584,0,준주거지역,1,included_detailed,477.584
pangyo,판교 도시지원시설용지,4113510900106150001,615-1도,1557.945,0,준주거지역,1,included_detailed,1557.945
pangyo,판교 도시지원시설용지,4113510900106110000,611대,5621.161,1,준주거지역,1,included_detailed,5621.161
pangyo,판교 도시지원시설용지,4113510900106140000,614공,251.049,0,준주거지역,1,included_detailed,251.049
pangyo,판교 도시지원시설용지,4113510900106130000,613대,6623.112,1,준주거지역,1,included_detailed,6623.112
pangyo,판교 도시지원시설용지,4113510900106110003,611-3 공,2554.377,0,자연녹지지역,1,included_detailed,2554.377
pangyo,판교 도시지원시설용지,4113510900106130001,613-1도,638.721,0,준주거지역,1,included_detailed,638.721
pangyo,판교 도시지원시설용지,4113510900106150000,615대,6694.825,1,준주거지역,1,included_detailed,6694.825
pangyo,판교 도시지원시설용지,4113510900106190000,619대,7721.889,1,준주거지역,1,included_detailed,7721.889
pangyo,판교 도시지원시설용지,4113510900106180001,618-1도,783.314,0,준주거지역,1,included_detailed,783.314
pangyo,판교 도시지원시설용지,4113510900106180000,618대,8910.378,1,준주거지역,1,included_detailed,8910.378
pangyo,판교 도시지원시설용지,4113510900106200000,620공,84.408,0,준주거지역,1,included_detailed,84.408
pangyo,판교 도시지원시설용지,4113510900106170001,617-1도,1178.259,0,준주거지역,1,included_detailed,1178.259
pangyo,판교 도시지원시설용지,4113510900106210001,621-1도,271.682,0,준주거지역,1,included_detailed,271.682
pangyo,판교 도시지원시설용지,4113510900106110002,611-2대,1907.772,0,준주거지역,1,included_detailed,1907.772
pangyo,판교 도시지원시설용지,4113510900106110004,611-4도,84.901,0,준주거지역,1,included_detailed,84.901
pangyo,판교 도시지원시설용지,4113510900106120004,612-4대,2226.084,1,준주거지역,1,included_detailed,2226.084
pangyo,판교 도시지원시설용지,4113510900106120003,612-3대,2228.677,1,준주거지역,1,included_detailed,2228.677
pangyo,판교 도시지원시설용지,4113510900106240006,624-6도,137.52,0,준주거지역,1,included_detailed,137.52
pangyo,판교 도시지원시설용지,4113510900106310001,631-1도,7.36,0,준주거지역,1,included_detailed,7.36
pangyo,판교 도시지원시설용지,4113510900106260000,626공,357.119,0,준주거지역,1,included_detailed,357.119
pangyo,판교 도시지원시설용지,4113510900106320000,632차,257.937,1,준주거지역,1,included_detailed,257.937
pangyo,판교 도시지원시설용지,4113510900106300001,630-1도,817.577,0,준주거지역,1,included_detailed,817.577
pangyo,판교 도시지원시설용지,4113510900106290001,629-1도,81.672,0,준주거지역,1,included_detailed,81.672
pangyo,판교 도시지원시설용지,4113510900106290000,629대,15522.489,1,준주거지역,1,included_detailed,15522.489
pangyo,판교 도시지원시설용지,4113510900106280000,628공,1156.808,0,준주거지역,1,included_detailed,1156.808
pangyo,판교 도시지원시설용지,4113510900106230003,623-3공,1594.612,0,준주거지역,1,included_detailed,1594.612
pangyo,판교 도시지원시설용지,4113510900106210000,621대,8485.011,1,준주거지역,1,included_detailed,8485.011
pangyo,판교 도시지원시설용지,4113510900106120002,612-2대,2151.733,0,준주거지역,1,included_detailed,2151.733
pangyo,판교 도시지원시설용지,4113510900106120001,612-1대,2121.166,0,준주거지역,1,included_detailed,2121.166
pangyo,판교 도시지원시설용지,4113510900106120000,612대,2039.997,1,준주거지역,1,included_detailed,2039.997
pangyo,판교 도시지원시설용지,4113510900106120005,612-5도,81.252,0,준주거지역,1,included_detailed,81.252
pangyo,판교 도시지원시설용지,4113510900106220000,622대,12210.322,1,준주거지역,1,included_detailed,12210.322
pangyo,판교 도시지원시설용지,4113510900106240000,624대,1777.963,1,준주거지역,1,included_detailed,1777.963
pangyo,판교 도시지원시설용지,4113510900106240001,624-1대,1663.315,0,준주거지역,1,included_detailed,1663.315
pangyo,판교 도시지원시설용지,4113510900106240002,624-2대,1653.181,0,준주거지역,1,included_detailed,1653.181
pangyo,판교 도시지원시설용지,4113510900106240003,624-3대,1643.632,0,준주거지역,1,included_detailed,1643.632
pangyo,판교 도시지원시설용지,4113510900106240004,624-4대,1634.692,0,준주거지역,1,included_detailed,1634.692
pangyo,판교 도시지원시설용지,4113510900106240005,624-5대,1876.739,0,준주거지역,1,included_detailed,1876.739
pangyo,판교 도시지원시설용지,4113510900106230000,623대,2355.101,1,준주거지역,1,included_detailed,2355.101
pangyo,판교 도시지원시설용지,4113510900106230001,623-1대,3372.435,0,준주거지역,1,included_detailed,3372.435
pangyo,판교 도시지원시설용지,4113510900106250000,625대,12184.231,1,준주거지역,1,included_detailed,12184.231
pangyo,판교 도시지원시설용지,4113510900106330000,633대,5662.281,1,준주거지역,1,included_detailed,5662.281
pangyo,판교 도시지원시설용지,4113510900106310000,631대,7692.368,1,준주거지역,1,included_detailed,7692.368
pangyo,판교 도시지원시설용지,4113510900106300000,630대,4452.603,1,준주거지역,1,included_detailed,4452.603
pangyo,판교 도시지원시설용지,4113510900106270000,627대,7902.573,1,준주거지역,1,included_detailed,7902.573
pangyo,판교 도시지원시설용지,4113510900106220001,622-1도,1900.711,0,자연녹지지역 | 준주거지역,2,all_detailed_equal_split,950.355
pangyo,판교 도시지원시설용지,4113510900106230002,623-2도,737.244,0,준주거지역,1,included_detailed,737.244
pangyo,판교 도시지원시설용지,4113510900106240007,624-7도,753.045,0,준주거지역,1,included_detailed,753.045
pangyo,판교 도시지원시설용지,4113510900106680000,668대,3244.963,1,준주거지역,1,included_detailed,3244.963
pangyo,판교 도시지원시설용지,4113510900106960003,696-3공,1974.786,0,보전녹지지역 | 준주거지역 | 자연녹지지역,3,all_detailed_equal_split,658.262
pangyo,판교 도시지원시설용지,4113510900106810001,681-1도,156.645,0,준주거지역,1,included_detailed,156.645
pangyo,판교 도시지원시설용지,4113510900106230005,623-5천,1258.182,0,자연녹지지역,1,included_detailed,1258.182
pangyo,판교 도시지원시설용지,4113510900106100003,610-3도,88.095,0,준주거지역,1,included_detailed,88.095
pangyo,판교 도시지원시설용지,4113510900106680006,668-6대,3634.89,0,준주거지역,1,included_detailed,3634.89
pangyo,판교 도시지원시설용지,4113510900106720000,672대,1238.26,1,준주거지역,1,included_detailed,1238.26
pangyo,판교 도시지원시설용지,4113510900106720001,672-1대,1458.989,0,준주거지역,1,included_detailed,1458.989
pangyo,판교 도시지원시설용지,4113510900106720003,672-3대,1455.989,0,준주거지역,1,included_detailed,1455.989
pangyo,판교 도시지원시설용지,4113510900106680005,668-5대,3443.034,0,준주거지역,1,included_detailed,3443.034
pangyo,판교 도시지원시설용지,4113510900106720002,672-2대,1242.343,0,준주거지역,1,included_detailed,1242.343
pangyo,판교 도시지원시설용지,4113510900106720004,672-4대,1139.882,0,준주거지역,1,included_detailed,1139.882
pangyo,판교 도시지원시설용지,4113510900106720005,672-5대,1274.471,0,준주거지역,1,included_detailed,1274.471
pangyo,판교 도시지원시설용지,4113510900106720006,672-6도,736.314,0,준주거지역,1,included_detailed,736.314
pangyo,판교 도시지원시설용지,4113510900106670007,667-7도,967.166,0,준주거지역 | 자연녹지지역,2,all_detailed_equal_split,483.583
pangyo,판교 도시지원시설용지,4113510900106750001,675-1도,690.736,0,준주거지역,1,included_detailed,690.736
pangyo,판교 도시지원시설용지,4113510900106790001,679-1도,701.442,0,준주거지역,1,included_detailed,701.442
pangyo,판교 도시지원시설용지,4113510900106870002,687-2도,193.051,0,준주거지역,1,included_detailed,193.051
pangyo,판교 도시지원시설용지,4113510900106760003,676-3도,414.559,0,준주거지역,1,included_detailed,414.559
pangyo,판교 도시지원시설용지,4113510900106760002,676-2도,18.777,0,준주거지역,1,included_detailed,18.777
pangyo,판교 도시지원시설용지,4113510900106670006,667-6 도,241.086,0,자연녹지지역 | 준주거지역,2,all_detailed_equal_split,120.543
pangyo,판교 도시지원시설용지,4113510900106880000,688대,2431.488,1,준주거지역,1,included_detailed,2431.488
pangyo,판교 도시지원시설용지,4113510900106770000,677공,335.615,0,준주거지역,1,included_detailed,335.615
pangyo,판교 도시지원시설용지,4113510900106780000,678대,5711.719,1,준주거지역,1,included_detailed,5711.719
pangyo,판교 도시지원시설용지,4113510900106780001,678-1공,691.836,0,준주거지역,1,included_detailed,691.836
pangyo,판교 도시지원시설용지,4113510900106790000,679대,5560.782,1,준주거지역,1,included_detailed,5560.782
pangyo,판교 도시지원시설용지,4113510900106160000,616대,2464.193,1,준주거지역,1,included_detailed,2464.193
pangyo,판교 도시지원시설용지,4113510900106880002,688-2수,428.985,0,준주거지역,1,included_detailed,428.985
pangyo,판교 도시지원시설용지,4113510900106110001,611-1대,3509.575,0,준주거지역,1,included_detailed,3509.575
pangyo,판교 도시지원시설용지,4113510900106100002,610-2도,584.196,0,준주거지역,1,included_detailed,584.196
pangyo,판교 도시지원시설용지,4113510900106160001,616-1대,2537.45,1,준주거지역,1,included_detailed,2537.45
pangyo,판교 도시지원시설용지,4113510900106100001,610-1대,4909.486,1,준주거지역,1,included_detailed,4909.486
pangyo,판교 도시지원시설용지,4113510900106100000,610대,3567.878,1,준주거지역,1,included_detailed,3567.878
pangyo,판교 도시지원시설용지,4113510900106260001,626-1도,534.791,0,준주거지역,1,included_detailed,534.791
pangyo,판교 도시지원시설용지,4113510900106970000,697공,440.244,0,준주거지역 | 보전녹지지역 | 자연녹지지역,3,all_detailed_equal_split,146.748
pangyo,판교 도시지원시설용지,4113510900106160002,616-2도,1056.133,0,자연녹지지역 | 준주거지역,2,all_detailed_equal_split,528.066
okjeong,양주 옥정 자족용지,4163011200106020004,602-4도,0.011,0,준주거지역,1,included_detailed,0.011
okjeong,양주 옥정 자족용지,4163011200106050009,605-9도,0.001,0,준주거지역,1,included_detailed,0.001
okjeong,양주 옥정 자족용지,4163011200105660050,566-50답,0,0,자연녹지지역,1,included_detailed,0
okjeong,양주 옥정 자족용지,4163011200106030003,603-3장,0.026,0,준주거지역,1,included_detailed,0.026
okjeong,양주 옥정 자족용지,4163011200201360040,산136-40임,0.201,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011200201360037,산136-37도,0.005,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011200201350000,산135도,0,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011200106040006,604-6도,0.019,0,준주거지역,1,included_detailed,0.019
okjeong,양주 옥정 자족용지,4163011200106060035,606-35전,0.002,0,준주거지역,1,included_detailed,0.002
okjeong,양주 옥정 자족용지,4163011200106020005,602-5도,0.003,0,준주거지역,1,included_detailed,0.003
okjeong,양주 옥정 자족용지,4163011300103140002,314-2도,0.012,0,준주거지역 | 자연녹지지역 | 보전관리지역,3,all_detailed_equal_split,0.004
okjeong,양주 옥정 자족용지,4163011300200080006,산 8-6도,0.064,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011300103150017,315-17도,0.034,0,준주거지역 | 자연녹지지역,2,all_detailed_equal_split,0.017
okjeong,양주 옥정 자족용지,4163011300103150012,315-12도,0.012,0,준주거지역 | 자연녹지지역,2,all_detailed_equal_split,0.006
okjeong,양주 옥정 자족용지,4163011300200040008,산 4-8도,0.082,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011300103150013,315-13 도,0.023,0,준주거지역 | 자연녹지지역,2,all_detailed_equal_split,0.012
okjeong,양주 옥정 자족용지,4163011300103150014,315-14도,0.07,0,준주거지역 | 자연녹지지역,2,all_detailed_equal_split,0.035
okjeong,양주 옥정 자족용지,4163011300103200003,320-3도,0.018,0,준주거지역 | 자연녹지지역,2,all_detailed_equal_split,0.009
okjeong,양주 옥정 자족용지,4163011300200070001,산 7-1도,0.203,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011300103150015,315-15도,0.037,0,준주거지역 | 자연녹지지역,2,all_detailed_equal_split,0.019
okjeong,양주 옥정 자족용지,4163011400110240005,1024-5공,0.021,0,준주거지역,1,included_detailed,0.021
okjeong,양주 옥정 자족용지,4163011400110060001,1006-1 대,13643.724,1,준주거지역,1,included_detailed,13643.724
okjeong,양주 옥정 자족용지,4163011400110070003,1007-3대,12902.226,0,준주거지역,1,included_detailed,12902.226
okjeong,양주 옥정 자족용지,4163011400110230002,1023-2대,9240.916,0,자연녹지지역 | 준주거지역,2,all_detailed_equal_split,4620.458
okjeong,양주 옥정 자족용지,4163011400110050000,1005도,1.079,0,자연녹지지역 | 제3종일반주거지역 | 준주거지역,3,all_detailed_equal_split,0.36
okjeong,양주 옥정 자족용지,4163011400110250001,1025-1대,4535.558,0,준주거지역,1,included_detailed,4535.558
okjeong,양주 옥정 자족용지,4163011400110040004,1004-4공,0.331,0,자연녹지지역 | 제3종일반주거지역 | 준주거지역,3,all_detailed_equal_split,0.11
okjeong,양주 옥정 자족용지,4163011400110070004,1007-4대,8747.077,1,준주거지역,1,included_detailed,8747.077
okjeong,양주 옥정 자족용지,4163011400110070005,1007-5공,0.024,0,자연녹지지역,1,included_detailed,0.024
okjeong,양주 옥정 자족용지,4163011400110240010,1024-10도,0.387,0,준주거지역,1,included_detailed,0.387
okjeong,양주 옥정 자족용지,4163011400110070001,1007-1대,5848.711,1,준주거지역,1,included_detailed,5848.711
okjeong,양주 옥정 자족용지,4163011400109880006,988-6도,0.74,0,준주거지역,1,included_detailed,0.74
okjeong,양주 옥정 자족용지,4163011400109880000,988잡,0.357,1,준주거지역,1,included_detailed,0.357
okjeong,양주 옥정 자족용지,4163011400110250003,1025-3공,0.041,0,준주거지역,1,included_detailed,0.041
okjeong,양주 옥정 자족용지,4163011400110240000,1024잡,0.686,1,준주거지역,1,included_detailed,0.686
okjeong,양주 옥정 자족용지,4163011400110240007,1024-7대,5485.997,0,준주거지역,1,included_detailed,5485.997
okjeong,양주 옥정 자족용지,4163011400110070002,1007-2대,5913.773,0,준주거지역,1,included_detailed,5913.773
okjeong,양주 옥정 자족용지,4163011400110240006,1024-6대,6254.413,1,준주거지역,1,included_detailed,6254.413
okjeong,양주 옥정 자족용지,4163011400110230001,1023-1종,0.128,0,준주거지역,1,included_detailed,0.128
okjeong,양주 옥정 자족용지,4163011400110040003,1004-3대,9340.866,1,자연녹지지역 | 준주거지역,2,all_detailed_equal_split,4670.433
okjeong,양주 옥정 자족용지,4163011400110230006,1023-6대,7841.644,0,준주거지역,1,included_detailed,7841.644
okjeong,양주 옥정 자족용지,4163011400110230003,1023-3대,8744.215,0,준주거지역,1,included_detailed,8744.215
okjeong,양주 옥정 자족용지,4163011400110230005,1023-5대,7883.439,0,준주거지역,1,included_detailed,7883.439
okjeong,양주 옥정 자족용지,4163011400110230004,1023-4대,9138.176,0,준주거지역,1,included_detailed,9138.176
okjeong,양주 옥정 자족용지,4163011400110060003,1006-3도,1.066,0,준주거지역,1,included_detailed,1.066
okjeong,양주 옥정 자족용지,4163011400109870001,987-1 대,15734.255,1,준주거지역,1,included_detailed,15734.255
okjeong,양주 옥정 자족용지,4163011400110040002,1004-2대,9926.8,0,준주거지역,1,included_detailed,9926.8
okjeong,양주 옥정 자족용지,4163011400109870003,987-3공,0.019,0,준주거지역,1,included_detailed,0.019
okjeong,양주 옥정 자족용지,4163011400109870004,987-4공,0.452,0,준주거지역,1,included_detailed,0.452
okjeong,양주 옥정 자족용지,4163011400110040001,1004-1대,9172.983,0,준주거지역,1,included_detailed,9172.983
okjeong,양주 옥정 자족용지,4163011400110040006,1004-6도,0.435,0,준주거지역,1,included_detailed,0.435
okjeong,양주 옥정 자족용지,4163011400110250002,1025-2잡,997.973,1,준주거지역,1,included_detailed,997.973
okjeong,양주 옥정 자족용지,4163011500200240004,산24-4도,0.031,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011500105940000,594공,79.361,0,자연녹지지역,1,included_detailed,79.361
okjeong,양주 옥정 자족용지,4163011500105930001,593-1 창,53330.568,1,준주거지역,1,included_detailed,53330.568
okjeong,양주 옥정 자족용지,4163011500200250006,산25-6도,0.034,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011500105930005,593-5 도,384.31,0,준주거지역,1,included_detailed,384.31
okjeong,양주 옥정 자족용지,4163011500105920001,592-1대,18260.42,0,준주거지역,1,included_detailed,18260.42
okjeong,양주 옥정 자족용지,4163011500105920002,592-2도,0.968,0,준주거지역,1,included_detailed,0.968
okjeong,양주 옥정 자족용지,4163011500200260000,산26도,0.153,0,,0,no_legal_zone_found,
okjeong,양주 옥정 자족용지,4163011500105930003,593-3도,0.656,0,준주거지역,1,included_detailed,0.656
okjeong,양주 옥정 자족용지,4163011500105920005,592-5 도,106.802,0,준주거지역,1,included_detailed,106.802
okjeong,양주 옥정 자족용지,4163011500105930007,593-7 도,0.01,0,준주거지역,1,included_detailed,0.01
okjeong,양주 옥정 자족용지,4163011500105930006,593-6 도,148.288,0,준주거지역,1,included_detailed,148.288
okjeong,양주 옥정 자족용지,4163011500105920006,592-6 도,3.668,0,준주거지역,1,included_detailed,3.668
okjeong,양주 옥정 자족용지,4163011500105930002,593-2도,0.051,0,준주거지역,1,included_detailed,0.051
okjeong,양주 옥정 자족용지,4163011500105920004,592-4 도,114.559,0,준주거지역,1,included_detailed,114.559